date,temperature,humidity,rainfall,wind_speed,pressure,city,day_of_week,month,quarter,sin_day_of_year,cos_day_of_year,temperature_lag_1,temperature_lag_3,temperature_lag_7,humidity_lag_1,rainfall_lag_1,temperature_3day_avg,temperature_7day_avg,humidity_7day_avg,rainfall_7day_avg,temperature_7day_std,temperature_difference
1981-01-01,21.0,68.68,0.0,2.85,919.0,Bangalore,3,1,1,0.017213356155834685,0.9998518392091162,14.4,23.87,21.0,51.15,0.0,21.0,21.0,68.68,0.0,0.0,0.0
1981-01-01,24.32,57.1,0.01,2.53,1001.3,Mumbai,3,1,1,0.017213356155834685,0.9998518392091162,14.4,23.87,21.0,51.15,0.0,24.32,24.32,57.1,0.01,0.0,0.0
1981-01-01,21.94,51.32,0.03,1.8,957.5,Hyderabad,3,1,1,0.017213356155834685,0.9998518392091162,14.4,23.87,21.0,51.15,0.0,21.94,21.94,51.32,0.03,0.0,0.0
1981-01-01,14.4,51.15,0.0,2.85,991.0,Delhi,3,1,1,0.017213356155834685,0.9998518392091162,14.4,23.87,21.0,51.15,0.0,14.4,14.4,51.15,0.0,0.0,0.0
1981-01-01,23.87,82.2,3.05,3.69,1007.4,Chennai,3,1,1,0.017213356155834685,0.9998518392091162,14.4,23.87,21.0,51.15,0.0,23.87,23.87,82.2,3.05,0.0,0.0
1981-01-02,15.63,50.83,0.0,1.26,990.2,Delhi,4,1,1,0.03442161162274574,0.9994074007397048,14.4,23.87,21.0,51.15,0.0,15.015,15.015,50.989999999999995,0.0,0.8697413408594538,1.2300000000000004
1981-01-02,21.53,69.01,0.42,1.91,918.7,Bangalore,4,1,1,0.03442161162274574,0.9994074007397048,21.0,23.87,21.0,68.68,0.0,21.265,21.265,68.845,0.21,0.37476659402887097,0.5300000000000011
1981-01-02,24.0,56.36,0.0,1.58,1001.1,Mumbai,4,1,1,0.03442161162274574,0.9994074007397048,24.32,23.87,21.0,57.1,0.01,24.16,24.16,56.730000000000004,0.005,0.2262741699796954,-0.3200000000000003
1981-01-02,23.82,82.42,0.57,3.29,1007.3,Chennai,4,1,1,0.03442161162274574,0.9994074007397048,23.87,23.87,21.0,82.2,3.05,23.845,23.845,82.31,1.8099999999999998,0.03535533905932662,-0.05000000000000071
1981-01-02,21.55,44.06,0.0,1.48,957.2,Hyderabad,4,1,1,0.03442161162274574,0.9994074007397048,21.94,23.87,21.0,51.32,0.03,21.745,21.745,47.69,0.015,0.27577164466275395,-0.39000000000000057
1981-01-03,23.45,80.23,2.82,3.04,1007.6,Chennai,5,1,1,0.051619667223253764,0.998666816288476,23.82,23.87,21.0,82.42,0.57,23.713333333333335,23.713333333333335,81.61666666666667,2.1466666666666665,0.2294195574342627,-0.370000000000001
